Risk number, Capability, Undesirable event, Risk Description (Briefly describe what may happen if the Undesired event materializes., Likelihood Score, Consequences Score, Risk Score, Net Score, Jusification for Likelihood Score, Justification for Consequences Score, Mitigation, Desired behavior, Preventative behavior, Responsive behavior, Functional Requirements as per Q1, Preventative requirements as per Q2, Responsive requirements as per Q3,,
1,Automatically create database,Overwrite existing database,The application use its ability of creating new database to overwrite existing data with real data,2,5,2x5,10,unlikely to happen unless there's bug in the code,if this happen all the data will be gone without way to recover,Automated unit test to prevent this from happening,"The app shall scan to find if existing database exist, if there's no database then create a new one. If there's one then do not create a new one",Never overwrite existing file when creating database,The app should throw error if it try to create a new database and found that it's about to overwrite a file,The app shall create and initialize a SQLite database file with all required tables (User/Deck/Card/Review) when no database file exists,The app shall check for an existing database file before any create or migrate operation and abort creation if one is found,The app shall abort startup and log a clear error naming the existing file path instead of writing over it,,
2,Password authentication,a user with wrong password can still login,The application check for correct combination of username and password,1,5,1x5,5,unlikely to happen unless there's bug in the code,if this happens user private data will be exposed and lost,Automated unit test to prevent this from happening,"the app shall verify that a combination of username and password is correct, if username is correct but password is not, then it should show an error",Compare submitted password against the bcrypt hash only; never compare plaintext or short-circuit the comparison,Return a generic 401 error and do not issue a JWT when the comparison fails,The app shall expose POST /api/auth/login that returns a valid JWT only when the username and password combination is correct,The app shall validate the login body with Zod and verify the password with bcrypt.compare before issuing any token,The app shall respond 401 with a consistent JSON error format and record the failed attempt,,
3,token authentication,a session with bad token can still continue,The application check the token to determine current login session,1,5,1x5,5,unlikely to happen unless there's bug in the code,if this happens user private data will be exposed and lost,Automated unit test to prevent this from happening,The app shall verify the JWT signature and expiry on every protected request and reject missing/invalid/expired tokens,Middleware verifies signature and expiration before attaching req.user; no route bypasses the middleware,Reject the request with 401 and force re-authentication when verification fails,The app shall protect all private routes with an authMiddleware that attaches the decoded user to req.user,The app shall verify token signature and expiration with jsonwebtoken on every protected route and unit test that bad or expired tokens are rejected,The app shall respond 401 and clear the client session so the user is redirected to login,,
4,Review schedule,overly aggressive or leniet review schedules,A scheduling bug can cause overly aggressive or leniet review schedules,3,4,3x4,12,Scheduling logic is hard to implement and prone to error ,"If this happens, user study progress will be interupted and not as efficient",Automated unit test of the SRS engine wrapper against ts-fsrs official examples,"The app shall map UI ratings (Easy/Medium/Hard) to the FSRS 1-4 scale and compute nextReview correctly for new, young and mature cards",Keep scheduling logic in an isolated pure-function service (packages/srs-engine) with documented default parameters,Log the computed interval and allow the schedule to be recalculated without losing review history,The app shall calculate an updated card state and nextReview date from the current state and the user rating without side effects,The app shall unit test every rating combination and assert that Hard yields a sooner nextReview than Easy and that new cards initialize correctly,The app shall provide a schedule recalculation path and keep the Review history intact for auditing,,
5,Database schema and relations,Orphaned cards or broken relations after deletion,Deleting a deck or user leaves cards and reviews pointing at records that no longer exist so queries fail or data is unreachable,2,4,2x4,8,Prisma relation behavior is explicit but easy to misconfigure,Study data becomes unreachable or the API errors on every read of the affected deck,Explicit Prisma relation rules plus integration tests on delete flows,The app shall remove or soft-delete all cards and reviews belonging to a deleted deck,Define onDelete behavior explicitly in the Prisma schema for every relation,Detect and report orphaned rows so they can be cleaned up,The app shall support DELETE of a deck and handle its associated cards according to the configured cascade or soft-delete policy,The app shall declare explicit referential actions in the Prisma schema and integration test deletion against an in-memory DB,The app shall run a consistency check that reports orphaned cards or reviews and allow an admin cleanup,,
6,Input validation for Deck and Card CRUD,Validation bypass lets malformed data reach the database,A request that skips client-side validation is accepted by the server and stores invalid or malicious data,3,4,3x4,12,Client-only validation is a common oversight and the API is directly reachable,Corrupted records can break study sessions and require manual data repair,Server-side Zod validation middleware plus integration tests,The app shall validate every create and update request body on the server before touching the database,Enforce shared Zod schemas in Express middleware ahead of any Prisma call,Reject invalid payloads with a consistent JSON error describing the failing fields,"The app shall expose GET, POST, PUT and DELETE endpoints for decks and cards that persist valid data and return a consistent success/error JSON format",The app shall run shared Zod schemas from shared-types as Express middleware on every mutating route and unit test rejection of malformed bodies,The app shall respond 400 with field-level error details and leave the database unchanged,,
7,Study session backend logic,Race condition on rapid reviews corrupts card state,Two overlapping review submissions update fsrsState or history partially so the card state and Review records disagree,3,4,3x4,12,Users can rate cards faster than a request round-trip and SQLite locks are transient,Card scheduling becomes wrong and review history is incomplete or duplicated,Wrap each review in a Prisma transaction and add retry logic for SQLite locks,The app shall update fsrsState and create the matching Review record atomically for each rating,Perform the state update and history insert inside a single database transaction,Roll back the whole review on failure and return an error so the client can retry,"The app shall expose POST /api/study/review that updates fsrsState and nextReview, creates a Review record, and returns the next due card",The app shall wrap each review in a Prisma transaction and integration test rapid sequential reviews for state consistency,The app shall roll back partial updates and retry transient SQLite lock failures before surfacing an error,,
8,Fetching due cards,Wrong cards returned or queue performance degrades,The due-card query returns cards that are not due or misses due cards or becomes slow on large decks so study sessions stall,3,3,3x3,9,Date filtering with null nextReview values is easy to get wrong and large decks are unindexed by default,Users study the wrong material or the app feels unusable on big collections,Database indexes plus integration tests with seeded large datasets and fixed timestamps,The app shall return only cards where nextReview is null or nextReview is less than or equal to now for the requested deck,Index nextReview and deckId in Prisma and test the query with fixed seeded timestamps,Report slow queries and paginate or cap the returned queue,The app shall expose GET /api/study/due returning the correct due-card queue for the selected deck,The app shall add DB indexes on nextReview and deckId and unit test the due filter including null nextReview,The app shall log query timings above a threshold and limit queue size so the session still starts,,
9,Interactive study session interface,Wrong card shown or rating applied to the wrong card,Optimistic UI updates or queue mis-indexing cause the answer or rating to be attached to a different card than the one displayed,3,4,3x4,12,Optimistic updates and async mutations make ordering bugs likely,User ratings corrupt the schedule of unrelated cards and trust in the app drops,Unit and component tests of the session store plus server-side card id validation,The app shall always submit the rating together with the id of the card currently displayed,Key session state by card id in the Zustand store rather than by list position,Revert the optimistic update and show a clear error if the server rejects or mismatches the card id,"The app shall display the active deck context and card queue, reveal the answer without a page reload, and submit the rating for the displayed card",The app shall track the current card by id in session state and unit test that the rating is sent with the matching card id,The app shall revert the local queue to the server state on mutation failure and show an actionable error message,,
10,Interactive study session interface,Poor UX on slow or failed network,Rating submissions hang or silently fail so the user does not know whether progress was saved,3,2,3x2,6,Mobile and campus networks are frequently slow or intermittent,Users repeat or lose a few reviews but there is no permanent data corruption,React Query mutation callbacks with loading and error states,The app shall show loading feedback during sync and confirm or clearly reject each submission,Use React Query mutations with onSuccess and onError plus skeleton and disabled states,Retry the mutation or reconcile with the server response and inform the user,The app shall end the session gracefully with a summary when no cards remain due,The app shall render skeleton or loading states and disable the rating controls while a mutation is in flight,"The app shall retry failed mutations, reconcile local state with the API response, and surface the failure to the user",,
